node_id,t,z,y,x,score,div_prob,cost_select,cost_division
90000000036,11,63.0,172.0,244.0,1.0,0.08205363899469376,-9.21024036697596,2.4147657911424916
91000000036,12,62.0,170.0,240.0,1.0,0.06142598018050194,-9.21024036697596,2.7265288476277694
92000000036,13,61.0,173.0,236.0,1.0,0.04838699474930763,-9.21024036697596,2.9789273709667277
93000000036,14,61.0,174.0,236.0,1.0,0.04826165735721588,-9.21024036697596,2.9816527449860053
94000000036,15,60.0,173.0,233.0,1.0,0.05763757601380348,-9.21024036697596,2.7942152230647714
95000000036,16,59.0,175.0,229.0,1.0,0.055708885192871094,-9.21024036697596,2.830294849999933
96000000036,17,58.0,173.0,224.0,1.0,0.05373353511095047,-9.21024036697596,2.868486908183286
97000000036,18,57.0,169.0,218.0,1.0,0.04762585461139679,-9.21024036697596,2.995582189563075
98000000036,19,56.0,168.0,214.0,1.0,0.04384986311197281,-9.21024036697596,3.0821433505953046
99000000036,20,56.0,167.0,214.0,1.0,0.04403406381607056,-9.21024036697596,3.077758768774513
100000000036,21,55.0,167.0,208.0,1.0,0.04455551877617836,-9.21024036697596,3.0654406330714954
101000000036,22,54.0,166.0,202.0,1.0,0.04427436739206314,-9.21024036697596,3.07206498126576
102000000036,23,53.0,163.0,199.0,1.0,0.04664761200547218,-9.21024036697596,3.0173628659630776
103000000036,24,52.0,162.0,192.0,1.0,0.0452347993850708,-9.21024036697596,3.049598758502347
104000000036,25,51.0,161.0,185.0,1.0,0.04504811391234398,-9.21024036697596,3.0539298415142415
105000000036,26,51.0,160.0,181.0,1.0,0.044506482779979706,-9.21024036697596,3.066593119947412
106000000036,27,51.0,156.0,179.0,1.0,0.04481080546975136,-9.21024036697596,3.0594601264557073
107000000036,28,51.0,154.0,170.0,1.0,0.045310668647289276,-9.21024036697596,3.0478434643343806
108000000036,29,51.0,153.0,168.0,1.0,0.04493608698248863,-9.21024036697596,3.056537071941602
109000000036,30,50.0,152.0,162.0,1.0,0.046008069068193436,-9.21024036697596,3.0318384176380455
110000000036,31,49.0,151.0,157.0,1.0,0.04747891426086426,-9.21024036697596,2.998826541829109
111000000036,32,48.0,152.0,155.0,1.0,0.04561935365200043,-9.21024036697596,3.0407305435618786
112000000036,33,45.0,151.0,153.0,1.0,0.04517168179154396,-9.21024036697596,3.051061171347674
113000000036,34,44.0,149.0,152.0,1.0,0.04575265198945999,-9.21024036697596,3.037673155462355
114000000036,35,42.0,148.0,146.0,1.0,0.04627499729394913,-9.21024036697596,3.025773572790716
115000000036,36,42.0,149.0,144.0,1.0,0.047740738838911057,-9.21024036697596,2.993052233769589
116000000036,37,41.0,148.0,145.0,1.0,0.04550766944885254,-9.21024036697596,3.0432987370223774
117000000036,38,41.0,146.0,144.0,1.0,0.04577922821044922,-9.21024036697596,3.037064605925474
118000000027,39,5.0,240.0,254.0,1.0,0.061066802591085434,-9.21024036697596,2.73277594500201
118000000036,39,42.0,147.0,141.0,1.0,0.04666125029325485,-9.21024036697596,3.0170562345796452
119000000027,40,3.0,240.0,253.0,1.0,0.05802091956138611,-9.21024036697596,2.7871794391183164
119000000036,40,42.0,148.0,140.0,1.0,0.04663670435547829,-9.21024036697596,3.017608165435991
120000000027,41,2.0,239.0,253.0,1.0,0.04965018853545189,-9.21024036697596,2.951827951637506
120000000036,41,40.0,143.0,135.0,1.0,0.04678956791758537,-9.21024036697596,3.014175419107083
121000000028,42,3.0,240.0,252.0,1.0,0.06934862583875656,-9.21024036697596,2.5967384116095875
121000000037,42,37.0,142.0,131.0,1.0,0.048016373068094254,-9.21024036697596,2.9870057777126244
122000000028,43,3.0,240.0,252.0,1.0,0.06666639447212219,-9.21024036697596,2.6390617041787303
122000000037,43,37.0,141.0,129.0,1.0,0.04942598193883896,-9.21024036697596,2.956589795549998
123000000028,44,3.0,241.0,253.0,1.0,0.051435794681310654,-9.21024036697596,2.9146151538423366
123000000037,44,36.0,140.0,126.0,1.0,0.04750616103410721,-9.21024036697596,2.998224230091952
124000000028,45,2.0,242.0,250.0,1.0,0.07055177539587021,-9.21024036697596,2.5782442601390847
124000000037,45,35.0,139.0,124.0,1.0,0.04998009651899338,-9.21024036697596,2.9448580788504852
125000000028,46,2.0,243.0,252.0,1.0,0.06233631446957588,-9.21024036697596,2.7108471877452605
125000000037,46,35.0,137.0,122.0,1.0,0.050940193235874176,-9.21024036697596,2.924819554504814
126000000029,47,1.0,243.0,252.0,1.0,0.09153587371110916,-9.21024036697596,2.2950244424464143
126000000038,47,34.0,135.0,123.0,1.0,0.04852838069200516,-9.21024036697596,2.97586106326829
127000000029,48,1.0,242.0,254.0,1.0,0.08249545842409134,-9.21024036697596,2.408914287442561
127000000038,48,34.0,133.0,124.0,1.0,0.04882049560546875,-9.21024036697596,2.9695525814377515
128000000029,49,1.0,245.0,255.0,1.0,0.0613059364259243,-9.21024036697596,2.7286129347921353
128000000038,49,33.0,132.0,127.0,1.0,0.04864282160997391,-9.21024036697596,2.9733853278865805
129000000039,50,32.0,128.0,128.0,1.0,0.0530439168214798,-9.21024036697596,2.882132527721343
